"","x"
"1",3.35898487602703
"2",4.18152949874385
"3",12.4412819267947
"4",12.0173444654381
"5",5.85545562371753
"6",5.15978898326592
"7",5.98491048709481
"8",5.62551847305173
"9",7.19396688832535
"10",8.18908928467085
"11",4.92441233928462
"12",10.9750430599432
"13",5.00116672828891
"14",7.7332671636257
"15",5.29259842136741
"16",6.1967656041247
"17",9.51830501940513
"18",7.60028278114333
"19",6.34726212914214
"20",13.2606308861874
"21",6.53526460451056
"22",9.06713612961135
"23",9.85013338650966
"24",9.25300707043608
"25",13.9788233080997
"26",6.04088545525116
"27",8.27427967983876
"28",4.94573041856107
"29",4.50429133528271
"30",5.08597923253726
"31",7.96600457399218
"32",5.55923511765088
"33",7.46678086654491
